Back,背部
"Meta Keywords","元關鍵字"
"Meta Description","元描述"
"Redemption Participants","兌換參與者"
"Add New Redemption","添加新的兌換"
"Are you sure you want to delete selected items?","您確定要刪除所選項目嗎？"
"Delete items","刪除項目"
"Are you sure you want to enable selected items?","您確定要啟用所選項目嗎？"
"Enable items","啟用項目"
"Are you sure you want to disable selected items?","您確定要禁用所選項目嗎？"
"Disable items","禁用項目"
Disable,禁用
Thumbnail,縮圖
"Start Date","開始日期"
"End Date","End Date"
Created,Created
Modified,改性
"If you have not received the email or text message, please click 'Send' again after 60 seconds","如果您尚未收到電子郵件或簡訊，請於60秒後重新點擊”送出”"
"Counter information not found","找不到計數器信息"
"This redemption is not available.","無法使用此兌換。"
"click here to register new redemption","點擊此處註冊新的兌換"
" * This is a required field.","* 這是一個必填字段。"
"Total Quantity","總量"
"Phone number should starts with '09'","電話號碼應以“09”開頭"
"I have agreed to the privacy policy","我已同意隱私權條款"
"Amorepacific Co., Ltd. (hereinafter referred to as 'Our company') takes your privacy very seriously, in order to let you can use Amorepacific activities with peace of mind","愛茉莉太平洋股份有限公司(以下簡稱「本公司」)非常重視您的隱私權，為了讓您能夠安心的使用愛茉莉太平洋活動"
"Congratulations on your successful application for the trial package redemption qualification! Please use this message to redeem at the counter! Provided to the counter staff","恭喜您成功申請試用包兌換資格。"
"Please click to complete the redemption by the counter staff, thank you!", "請憑此訊息至專櫃由專櫃人員點擊完成兌換，謝謝！"
"Dear","親愛的"
"[Sulwhasoo] Trial package redemption application confirmation notice","【雪花秀】試用包兌換申請確認通知"
"Congratulations on your successful application for the trial package redemption qualification.","恭喜您成功申請試用包兌換資格。"
"Please use this message to the %counter counter and the counter staff will click to complete the redemption, thank you!","請憑此訊息至%counter專櫃由專櫃人員點擊完成兌換，謝謝！"
"Redemption confirmation link","兌換確認連結"
"Brand activity","品牌活動"
"Please choose a counter","選擇櫃台"
"SMS Content","短信內容"
"Dear %name Hello!","親愛的 %name 您好！"
"LANEIGE informs you: ","蘭芝通知您："
"SULWHASOO informs you: ","雪花秀通知您："
"From now until 5/11 to Shinkong Mitsukoshi Xinyi Xintiandi A11 %counter experience 'Lanzhi Star Products', you can redeem a 'Star Product Experience Group'! Each person is limited to one time. (The quantity is limited until the end of redemption).","即日起至5/11至新光三越信義新天地A11%counter 體驗「蘭芝明星產品」，即可兌換「明星商品體驗組」乙份！每人限領乙次。(數量有限兌完為止)。"
"Redemption page: %confirm","兌換網頁： %confirm"
"【Laneige】Confirmation notice of trial package redemption application","【蘭芝】試用包兌換申請確認通知"
"complete conversion","完成兌換"
"Need to be confirmed by the counter staff","需由專櫃人員點擊確認後即失效"
"Detailed Address","詳細地址"
"Thank you for your support to Xiaolanguan! You already enjoy the priority experience service of Laneige Super Member!","謝謝對小蘭管的支持！您已經享有蘭芝超級會員的優先體驗服務！"
"The number of this event is limited, please leave the opportunity to friends who have not yet challenged, thank you for your understanding!","本次活動數量有限，煩請把機會留給還沒挑戰過的朋友，謝謝您的體諒！"
"Please enter separated by commas. For example: 0958781234,0932051234,0933151234,0912021234,0930931234.","限制电话号码。 请输入以逗号分隔。 例如：0958781234,0932051234,0933151234,0912021234,0930931234"
"Restricted phone numbers (VVIPs' phone numbers)","受限电话号码（VVIP 的电话号码）
"Home Delivery Enabled","已启用送货上门"
