"SFExpressForm::ShopMethod", "順豐站"
"SFExpressForm::LockerMethod", "順豐智能櫃"
"SFExpressForm::RegionPlaceholder", "地區"
"SFExpressForm::AreaPlaceholder", "區域"
"SFExpressForm::ShopPlaceholder", "店舖"
"CheckoutForm::TypeName", "順豐自取服務"
"CheckoutForm::originalShippingMethodTitle", "送貨"
"PDCPTB::PlaceOrder", "繼續付款"
"PDCPTB::PlaceOrder_New", "信用卡付款"
"PDCPTB::backPlaceholder", "返回上一步"
"PDCPTB::description","選擇「信用卡付款」將會轉至網上付款頁面，以信用咭作交易。<br/>付款完成後，系統將自動轉回此網頁繼續訂單確認。"
"PDCPTB::back to cart","編輯購物車"
"CASHONDELIVERY::description","選擇「現金貨到付款」，可於收貨時由順豐速運收取貨款。不適用於智能櫃自取。<br/>*不設找續，只收港幣，請準備適量現金。付款上限為HK$10,000。"
"CASHONDELIVERY::or","或"
"CheckoutForm::NextPlaceholder", "下一步"
"CheckoutForm::FillAllRequiredFields", "請輸入必填欄。"
"CheckoutForm::shippingTitlePlaceholder", "運送"
"CheckoutForm::paymentTitlePlaceholder", "付款"
"CheckoutForm::completeTitlePlaceholder", "完成"
"ShippingAddress::Street Address", "送貨地址"
"ShippingAddress::Name", "姓名"
"ShippingAddress::Telephone", "手提電話"
"PhoneRegion::Please Select", "區號"
"ShippingAddress::LastnamePlaceholder", "姓氏"
"ShippingAddress::FirstnamePlaceholder", "名字"
"ShippingAddress::TelephonePlaceholder", "請輸入手提電話號碼"
"ShippingAddress::StreetPlaceholder", "地址"
"ShippingAddress::CityPlaceholder", "城市"
"ShippingAddress::Save Address", "儲存"
"Edit Address", "編輯送貨地址"
"AddressBook::Edit Address", "編輯"
"You saved the address.","已成功新增送貨地址"
"We can't save the address.", "未能成功新增地址，請重新嘗試"
"ShippingAddress::SetDefaultShipping", "更改為預設送貨地址"
"ShippingAddressAjax::Retry", "請重新嘗試。"
"CheckoutForm::addressOrPlaceholder", "或"
"CheckoutForm::chooseAddressPlaceholder", "選擇其他送貨地址"
"CheckoutForm::newAddressPlaceholder", "新增送貨地址"
"CheckoutForm::defaultAddressPlaceholder", "預設送貨地址"
"CheckoutForm::PhoneRegionSelect", "區號"
"CheckoutForm::CityPlaceholder", "城市"
"CheckoutForm::StreetPlaceholder", "地址"
"CheckoutForm::saveInAddressBookPlaceholder", "新增至送貨地址"
"CheckoutForm::saveAddressPlaceholder", "儲存"
"CheckoutForm::cancelAddressPlaceholder", "取消"
"ShippingAddress::ConfirmDelete", "確認刪除此送貨地址？"
"ShippingAddress::Delete Address", "刪除"
"ShippingAddress::ConfirmOK", "確定刪除"
"ShippingAddress::ConfirmCancel", "不要刪除"
"minicart::cartTitle", "購物車"
"minicart::continueShopping", "繼續購物"
"minicart::confirmButton", "確認訂單"
"minicart::noItems", "你的購物車中沒有商品。"
"minicart::subTitle", "貨品總額"
"minicart::addToWishlist", "加入收藏夾"
"minicart::outOfStock", "暫時缺貨"
"minicart::deleteItem", "地址刪除後將無法恢復，請問是否確定刪除?"
"minicart::deleteOK", "確定刪除"
"minicart::deleteCancel", "不要刪除"
"You are signed out", "閣下已登出"
"You have signed out and will go to our homepage in 5 seconds.","你已經登出，並會在5秒內到我們的主頁。"
"%store_name Order Confirmation", "%store_name 訂單確認"
"Thank you for your order from %store_name.", "感謝你從 %store_name 購買產品。"
"Once your package ships we will send you a tracking number.", "當發貨時，我們將向你發送貨物追蹤號碼。"
"Email/Items", "產品"
"Email/Qty", "數量"
"Email/Price", "價錢"
"Email/ProductDetails", "賬單資料"
"Set a New Password", "設定新密碼"
"Processing", "訂單處理中"
"V-Logic Success", "訂單處理中"
"V-Logic Fail", "訂單處理中"
"Shipping", "運送中"
"Pending", "等待中"
"Canceled", "已取消"
"Complete", "完成"
"Checkout::PleaseTryAgain", "付款不成功之原因有可能是因為發卡銀行系統繁忙、信用卡資料認證錯誤、信用額度已滿等。<br />請與相關發卡銀行或 AMOREPACIFIC 客戶服務部聯絡，並重新嘗試交易。"
"Checkout::BackToShoppingCart", "返回購物車"
"Checkout::BackToHomePage", "返回主頁"
"Order Failure!", "付款失敗"
"OnepageSuccess::Dashboard", "前往個人帳戶"
"OnepageSuccess::Continue", "繼續購物"
"OnepageSuccess::Title", "付款成功！"
"OnepageSuccess::TitleComplete", "訂單完成"
"OnepageSuccess::Processing", "你的訂單正在處理中"
"OnepageSuccess::CanViewOrder", "電子收據將發送至你的電郵地址，你可隨時於個人帳戶頁面查看訂單詳情及運送進度。"
"OnepageSuccess::CannotViewOrder", "電子收據將發送至你的電郵地址。"
"ShopList::PleaseInputPlaceholder", "請輸入地址或店舖名稱"
"ShopList::SearchButton", "請輸入關鍵字"
"ShopList::AllRegion", "全部"
"ShopList::ShopTitle", "店舖"
"ShopList::PrevPage", "上一頁"
"ShopList::NextPage", "下一頁"
"<a href=""%1"" class=""action primary"">Continue Shopping</a>","<a href=""%1"" class=""action primary"">繼續購物</a>"
"Email/Shipped By", "運送公司"
"Email/Tracking Number", "貨物追蹤號碼"
"Save","儲存"
"The confirmation request has been sent.", "請檢查訂閱確認電郵。"
"Thank you for your subscription.", "感謝訂閱最新AMOREPACIFIC優惠資訊。"
"There was a problem with the subscription: %1", "%1"
"Something went wrong with the subscription.", "發生錯誤 請稍後再試。"
"ProductPreference::Title", "你可能會喜歡"
"ForgetPassword::You registered using Facebook account, please login via Facebook.", "閣下於AMOREPACIFIC 網上商店帳戶是以 Facebook 帳戶登記，請重新以Facebook帳戶再次登入。"
"ForgetPassword::Your Email:", "[AMOREPACIFIC網上商店 - 啟動/忘記密碼申請]"
"ForgetPassword::Your Password Reset Link:", " 更改密碼驗證碼: "
"ForgetPassword:: .", " ."
"ProductList::OriginalPrice:%1", "(價值$%1)"
"PosTransaction::You have placed no orders.", "訂單將於收貨後於系統中記錄"
"ForgotPasswordPost::EnsurePhoneFormat", "請檢查清楚已填寫正確電話號碼。"
"ForgotPasswordPost::Success", "信息已發送。"
"ForgotPasswordPost::MemberNotExist", "閣下尚未登記網上商店帳戶，請先註冊。"
"ForgotPasswordPost::Retry", "請重新嘗試。"
"This email address is already assigned to another user.", "此電郵已經註冊。"
"Please enter a valid email address.", "請輸入正確電郵地址。"
"Discount (%1)", "優惠碼 (%1)"
"The coupon code ""%1"" is not valid.", "此優惠碼未能使用。<br/>優惠碼須符合以下情況方可使用:<br/>1. 優惠碼輸入正確<br/>2. 已註冊或登入帳戶<br/>3. 每位會員只限享用優惠乙次"
"subscription::invalidEmail", "請輸入正確電郵地址。"
"CountryTranslation::HK", "香港"
"CountryTranslation::MO", "澳門"
"You deleted the address.", "你已刪除送貨地址。"
"First time user please <a href=""%1"">register</a>", "如首次使用此網站購物，請先<a href=""%1"">註冊網上帳戶</a>"
"Invalid login or password.", "登入帳戶或密碼不正確。"
"The password doesn't match this account.", "你所輸入的密碼不正確。"
"Please enter a password with at least %1 characters.", "密碼需由6位或以上的英文字母及數字所組成"
"Thank you for registering with %1.", "你已成功登記%1網上商店帳戶。"
"Your phone number is already binded with other account.", "此電話號碼已登記成為會員，請以現有帳戶登入。"
"Your SMS verification code is incorrect, please retry.", "請檢查清楚驗証碼正確無誤。"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.", "此電郵已登記成為會員，請以現有帳戶登入。"
"You added %1 to your shopping cart.", "%1 已加入購物車。"
"You need to choose options for your item.", "請先選擇顏色。"
"%1 has been added to your Wish List.", "%1 已加入收藏夾。"
"Click <a href=""%1"">here</a> to continue shopping.", ""
"You have no items in your wish list.", "你的收藏夾是空的。"
"SMS::VerifyPhonePrefix", "閣下於AMOREPACIFIC網上商店帳戶註冊之驗証碼為"
"SMS::VerifyPhoneSuffix", "，請於5分鐘內輸入"
"This is a required field.", "請輸入必填欄。"
"Please ensure all fields are filled.", "請輸入必填欄。"
"ValidateForm::Required", "請輸入必填欄。"
"ValidateForm::Lastname", "請輸入必填欄。"
"ValidateForm::Firstname", "請輸入必填欄。"
"ValidateForm::Email", "請輸入正確的電郵格式。"
"ValidateForm::Phone", "請輸入正確的電話格式。"
"ValidateForm::PasswordEqualTo", "密碼與確認密碼不同。"
"ValidateForm::NewPasswordEqualTo", "新密碼與確認新密碼不相符，請重新輸入。"
"ValidateForm::PasswordFormat", "由6-12位數字和英文字母組成"
"Please try to submit the form again.", "請重新填寫表格。"
"A login and a password are required.", "登入帳戶或密碼不正確。"
"Your SMS verification code is expired.","驗証碼已過期，請重新按發送驗證碼。"
"The most you may purchase is %1.", "每件貨品最多只可買%1件。"
"OrderHistory::FlowTitle", "訂單流程說明"
"OrderHistory::FlowPending","等待中"
"OrderHistory::FlowProcessing","訂單處理中"
"OrderHistory::FlowShipping","物流運輸中"
"OrderHistory::FlowComplete","交易完成"
"CheckoutForm::ChooseShippingAddressFirst", "請先選擇送貨地址。"
"POS Archived Failure", "完成"
"We can't find products matching the selection.", "未能找尋符合選擇的產品。"
"This product(s) is out of stock.", "暫時缺貨"
"You will be redirected to the payment gateway in a few seconds.", "即將轉至付款頁面，請稍侯，請勿關閉瀏覽器。"
"SFExpressForm::locationHeaderPrefix", "選擇"
"SFExpressForm::locationHeaderSuffix", "地點"
"ProductTranslate::TryAgain", "請重新嘗試。"
"We don\'t have as many \"%1\" as you requested.","抱歉! ""%1"" 貨存量不足。"
"Product Recommendation", "你可能會喜歡"
"You have placed no orders.","閣下並沒有下單紀錄。"
"POS History will be shown after order shipped", "閣下的購物紀錄及積分將於物流發貨後於系統中記錄。"
"Please choose", "請選擇"
"TNC before placing order %1 %2 %3", "請仔細閱讀本網站所載的本公司的<a href=""%1"" target=""_blank"">服務及使用條款</a>､<a href=""%2"" target=""_blank"">網上訂購及送貨服務注意事項</a>及<a href=""%3"" target=""_blank"">私隱政策聲明</a>。如你確認提交訂單，即代表閣下已經閱讀、明白及同意接受此等使用條款的約束。"
"Please choose your payment method", "選擇付款方式"
"Payment Introduction", "選擇「信用卡付款」將會轉至網上付款頁面，以信用咭作交易。<br/>付款完成後，系統將自動轉回此網頁繼續訂單確認。<br/><br/>選擇「現金貨到付款」，可於收貨時由順豐速運收取貨款。不適用於智能櫃自取。<br/>*不設找續，只收港幣，請準備適量現金。付款上限為HK$10,000。"
"OfflinePayments::PlaceOrder", "現金貨到付款"
"hot_picks_title", "HOT PICKS"
"hot_picks_all", "全部"
"Latest News", "最新消息"
"Read More", "查看更多"
"Payment Method", "付款方式"
"Subscribe AMOREPACIFIC Newsletter", "訂閱 AMOREPACIFIC 電子報"
"Follow us", "緊貼我們最新動態，優先瀏覽最新產品、特別優惠及最新資訊等。"
"Membership Page", "會員頁面"
"Unknown error found during account creation, please contact customer service and provide your VIP Code or phone number or email for further investigation. Thank you.","啟動時發生錯誤。請與客戶服務人員聯絡，並提供會員號碼或電郵地址或電話號碼作檢查。"
"Unknown error found, please contact customer service and provide your VIP Code or phone number or email for further investigation. Thank you.", "發生錯誤。請與客戶服務人員聯絡，並提供會員號碼或電郵地址或電話號碼作檢查。"
"Your activation link is invalid. Please click the activation link found in the email again. Thank you.", "激活連結無效，請重新點擊電郵中的激活連結。"
"Your activation link is expired. Please contact customer service to ask for support. Thank you.", "激活連結已過期，請聯絡客戶服務人員。"
"Your activation link is activated already. Please login. Thank you.", "激活連結已被激活，請登入。"
"The activation link is not yet ready. Please try again later.", "激活連結正在準備中，請稍後再嘗試。"
"Activate Online Member Account", "啟動網店會員"
"Please retry and double check the correctness of passwords. Thank you.", "請檢查密碼輸入正確。"
"Please try and click the activation URL in email. Thank you.", "請重新開啟電郵中的激活連結。"
"You VIP member account is not found. Please contact customer service and provide your VIP Code or phone number or email for further investigation. Thank you.", "發生錯誤。請與客戶服務人員聯絡，並提供會員號碼或電郵地址或電話號碼作檢查。"
"You VIP member account is used by another online account. Please contact customer service and provide your VIP Code or phone number or email for further investigation. Thank you.", "你已登記成為會員，請以現有帳戶登入。"
"Error found during creating your online member account. Please contact customer service and provide your VIP Code or phone number or email for further investigation. Thank you.", "此電郵己有登記，請以現有帳戶登入。"
"Membership::BirthdayFormat", "%2月 %1日"
"Online and delivery","網上訂購及送貨服務注意事項"
"Non member","非會員結帳的訂單不能尊享會員優惠、獲取積分或累積消費升級成為VIP會員。"
"Membership::BirthdayFormat", "%2月%1日"
"FAQ", "常見問題"
"Delivery", "送貨服務"
"Store Locations", "店舖地址"
"Contact Us", "聯絡我們"
"Online and delivery","網上訂購及送貨服務注意事項"
"Non member","非會員結帳的訂單不能尊享會員優惠、獲取積分或累積消費升級成為VIP會員。"
"You have already viewed", "你已查看了"
"An unspecified error occurred. Please contact us for assistance.","發生了未指定的錯誤請聯繫我們獲取幫助"
"Something went wrong while saving the new password.","更改密碼失敗"
"Your password reset link has expired.","更改密碼之連結現已失效"
"You updated your password.","已成功更改密碼"
"Please enter current password.","請輸現時密碼"
"Please enter a new password.","請輸入新密碼"
"Please enter the new password again.","請再次輸入新密碼"
"An unspecified error occurred. Please contact us for assistance.","發生了未指定的錯誤請聯繫我們獲取幫助"
"Unable to save shipping information. Please check input data.","儲存送貨地址失敗，請檢查資料如有錯誤"
"Your search returned no results.","沒有找到任何結果"
"Your Facebook Session is expired. please re-register.","頁面等候時間過長，請重新註冊程序"
"You saved the account information.","已更新個人資料"
"%1 has been moved to your wish list.","已將 %1 加到我的收藏"
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","最小長度必須等於或大於%1個符號"
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","密碼中最少%1個不同類別的字符，包括：小寫，大寫，數字，特殊字符"
"Please enter the same value again.","請輸入相同密碼"
"You have no default shipping address in your address book.","您沒有預設送貨地址"
"Product that you are trying to add is not available.","你所選擇的產品暫時缺貨"
"Accepted payment method","我們接受以下付款方式"
"A customer with the same email already exists in an associated website.", "此電郵地址己經登記成為會員，請輸入另一個電郵地址"
"Home", "主頁"
"Please enter a value less than or equal to {0}.","每件貨品最多只可買{0}件."
"All %s Products", "所有%s產品"
"Load more products", "更多產品"
"We don't have as many ""%1"" as you requested.", "抱歉，我們暫時沒有足夠數量 ""%1"" 以供購買。"
"An error occurred on the server. Please try to place the order again.", "服務器發生錯誤，請重新下訂。"
"The account is locked. Please wait and try again or contact %1.","您的帳戶已被鎖定，因此無法登錄。請聯繫 %1."
"Write Your Own Review","撰寫評論"
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","請先<a href=""%1"">登入</a>或<a href=""%2"">註冊</a>你的AMOREPACIFIC香港官方網上商店帳戶。"
"Your Rating","選擇一個評級"
"Summary","評論標題"
"Review","我的評論"
"Submit Review","提交評論"
"Be the first to review this product","成為第一個撰寫評論的用戶"
"Number Of Reviews","則評論"
"Add Your Review","撰寫評論"
"Customer Reviews","產品評論"
"Posted on","發表於 "
"Review fields required","必須填寫"
"Please enter a review summary.","請撰寫評論標題與內容"
"Please enter a review.","請撰寫評論"
"You submitted your review for moderation.","你已提交評論"
"More Reviews","查看更多評論"
"Please select one of each of the ratings above.","請選擇評分"
"Email / Phone Number ( Region + Number )","電郵地址 / 電話號碼"
"Please enter your email / phone number","請輸入你的電郵地址 / 電話號碼"
"Please enter reset code inside SMS to proceed changing password.","請輸入SMS內的驗證碼以繼續啟動/更改密碼。"
"Please input reset code","請輸入SMS內的驗證碼"
"Reset Password","啟動/更改密碼"
"ForgotPasswordPost::Retry_ProbablyExceed","重設密碼要求超出上限，請稍後嘗試。"
"ForgetPassword::Your Password Reset Code:"," 更改密碼驗證碼: "
"Have token?","已有驗證碼？"
"Click to reset password","按此重設"
"AP-Popup-Message", "訂閱 AMOREPACIFIC 電子報"
"AP-Popup-Text", "緊貼我們最新動態，優先瀏覽最新產品、特別優惠及最新資訊等。"
"ShopList::CopyAddress", "複製地址"
"Call & SMS Marketing","我願意收到電話通知"
"Laneige","Amorepacific"
"Laneige Content","Amorepacific Content"
"LaneigeContent","Amorepacific Content"
"LaneigeGwp","Amorepacific Gwp"
"LaneigeStore","Amorepacific Store"
"Laneige Offline Member","Amorepacific Offline Member"
"LaneigeContent - Pages","Amorepacific Content - Pages"
"LaneigeContent - Categories","Amorepacific Content - Categories"
"LaneigeGwp - Rules","Amorepacific Gwp - Rules"
"LaneigeStore - Shops","Amorepacific Store - Shops"
"LaneigeOfflineMember - Offline Members","Amorepacific Offline Member - Offline Members"
"LaneigeContent plugin is currently supported by K2 Digital and its license is controlled by K2 Digital. For module licensing issue, please contact tech@k2.digital.","Amorepacific Content plugin is currently supported by K2 Digital and its license is controlled by K2 Digital. For module licensing issue, please contact tech@k2.digital."
"You have not set a default shipping address.","你暫時未有其他地址紀錄"
"Member points", "會員積分"
"Created At", "創建日期"
